taxon,genus,family,vernacular_name,native_status,floral_unit_definition,sugar_per_floral_unit_ug,sugar_data_type,sugar_data_source,comments
Lysimachia punctata,Lysimachia,Primulaceae,"dotted loosestrife, large yellow loosestrife",non-native,single flower,0.00,empirical,Tew et al. (this study),1 species in genus (Lysimachia ciliata); 10 flowers measured (1 site on 1 day)
Lysimachia vulgaris,Lysimachia,Primulaceae,"yellow loosestrife, garden loosestrife",native,single flower,0.00,empirical,Tew et al. (this study),1 species in genus (Lysimachia ciliata); 10 flowers measured (1 site on 1 day)
Lythrum salicaria,Lythrum,Onagraceae,purple loosestrife,native,single flower,136.72,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Malcolmia maritima,Malcolmia,Brassicaceae,Virginia stock,non-native,single flower,46.35,empirical,Hicks et al. 2016,same species; 21 flowers measured (1 site on 1 day)
Malus pumila,Malus,Rosaceae,apple,non-native,single flower,110.21,empirical,Baude et al. 2016,"same species (Malus domestica, which is a synonym of Malus pumila); 16 flowers sampled (2 sites on 2 days)"
Malva spp,Malva,Malvaceae,mallow,native,single flower,540.65,empirical,Hicks et al. 2016,1 species in genus (Malva moschata); 11 flowers measured (1 site on 1 day)
Matricaria chamomilla,Matricaria,Asteraceae,"wild chamomile, scented mayweed",non-native,single capitulum,84.48,empirical,Baude et al. 2016,same species (Matricaria recutita); 10 flowers measured (1 site on 1 day) and 5 FUs counted
Matricaria discoidea,Matricaria,Asteraceae,"pineappleweed, wild chamomile",non-native,single capitulum,62.85,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 13 FUs counted (2 sites on 2 days); weighted mean used to combine datasets at FU level
Matthiola incana,Matthiola,Brassicaceae,hoary stock,non-native,single flower,343.72,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Meconopsis cambrica,Meconopsis,Papaveraceae,Welsh poppy,native,single flower,3.92,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Papaver rhoes used given Meconopsis cambrica is synonymous with Papaver cambricum); 20 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Medicago arabica,Medicago,Fabaceae,spotted medick,native,single raceme,29.67,empirical,Baude et al. 2016,1 species in genus (Medicago lupulina); 8 flowers measured (1 site on 1 day) and 5 FUs counted
Medicago lupulina,Medicago,Fabaceae,black medick,native,single raceme,29.67,empirical,Baude et al. 2016,same species; 8 flowers measured (1 site on 1 day) and 5 FUs counted
Medicago sativa,Medicago,Fabaceae,"alfalfa, lucerne",native,single raceme,2104.42,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day) and 10 FUs counted
Melilotus altissimus,Melilotus,Fabaceae,"tall yellow sweetclover, tall melilot",non-native,single flower,20.17,empirical,Baude et al. 2016,1 species in genus (Melilotus officinalis); 10 flowers measured (1 site on 1 day)
Melissa officinalis,Melissa,Lamiaceae,lemon balm,non-native,single flower,119.81,empirical,Tew et al. (this study),same species; 30 flowers measured (3 sites measured on 3 days)
Mentha spp,Mentha,Lamiaceae,mint,non-native,single flower,16.83,empirical,Tew et al. (this study),1 species in genus (Mentha spicata and hybrids); 60 flowers measured (3 sites on 3 days); mean across all 60 flowers
Mercurialis perennis,Mercurialis,Euphorbiaceae,dog's mercury,native,single flower,0.00,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Mimulus spp,Mimulus,Scrophulariaceae,monkey flower,non-native,single flower,454.70,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Misopates orontium,Misopates,Scrophulariaceae,"weasel's snout, lesser snapdragon",non-native,single flower,211.13,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Muscari armeniacum,Muscari,Asparagaceae,Armenian grape hyacinth,non-native,single flower,162.65,empirical,Tew et al. (this study),same species; 40 flowers measured (2 sites on 2 days)
Muscari neglectum,Muscari,Asparagaceae,common grape hyacinth,non-native,single flower,162.65,empirical,Tew et al. (this study),1 species in genus (Muscari armeniacum); 40 flowers measured (2 sites on 2 days)
Myosotis spp,Myosotis,Boraginaceae,forget-me-not,non-native,single flower,23.05,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Myosotis arvensis); 25 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Myrrhis odorata,Myrrhis,Apiaceae,sweet cicely,non-native,secondary umbel,197.10,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Narcissus spp,Narcissus,Amaryllidaceae,daffodill,non-native,single flower,915.82,empirical,Tew et al. (this study),2 varieties (large and small flowering cultivars); 40 flowers measured (2 sites on 3 days); mean of all 40 flowers taken
Narthecium ossifragum,Narthecium,Nartheciaceae,bog asphodel,native,single flower,0.00,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Nectaroscordum siculum,Nectaroscordum,Amaryllidaceae,Sicilian honey garlic,non-native,single flower,701.93,empirical,Tew et al. (this study),1 species in genus (Allium roseum used given Nectaroscordum siculum is synonymous with Allium siculum); 10 flowers measured (1 site on 1 day)
Nemesia x hybrida,Nemesia,Scrophulariaceae,nemesia,non-native,single flower,74.93,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Nepeta cataria,Nepeta,Lamiaceae,"catmint, catnip",non-native,single flower,328.90,empirical,Tew et al. (this study),1/2 varieties in genus (Nepeta sp.); 22 flowers measured (2 sites on 2 days)
Nepeta x faassenii,Nepeta,Lamiaceae,"catmint, catnip",non-native,single flower,328.90,empirical,Tew et al. (this study),1/2 varieties in genus (Nepeta sp.); 22 flowers measured (2 sites on 2 days)
Nicotiana alata/forgetiana and hybrids,Nicotiana,Solanaceae,tobacco,non-native,single flower,8283.00,empirical,Tew et al. (this study),same species (Nicotiana alata); 10 flowers measured (1 site on 1 day)
Nigella damascena,Nigella,Ranunculaceae,love-in-a-mist,non-native,single flower,240.30,empirical,Hicks et al. 2016,same species; 4 flowers measured (1 site on 1 day)
Ocimum basilicum,Ocimum,Lamiaceae,basil,non-native,single flower,173.48,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Odontites vernus,Odontites,Orobanchaceae,red bartsia,native,single flower,10.84,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Oenothera spp,Oenothera,Onagraceae,evening primrose,non-native,single flower,932.32,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Origanum majorana,Origanum,Lamiaceae,marjoram,non-native,single flower,83.28,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Origanum vulgare); 20 flowers measured (2 sites on 2 days); weighted mean used to combine datasets
Origanum vulgare,Origanum,Lamiaceae,oregano,native,single flower,83.28,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 20 flowers measured (2 sites on 2 days); weighted mean used to combine datasets
Ornithopus perpusillus,Ornithopus,Fabaceae,little white bird's-foot,native,single flower,10.61,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Osteospermum barberiae and hybrids,Osteospermum,Asteraceae,"African daisy, daisybush",non-native,single capitulum,1299.68,empirical,Tew et al. (this study),2 species/varieties in genus; 24 flowers measured (2 sites on 2 days) and 12 FUs counted
Oxalis spp,Oxalis,Oxalidaceae,wood sorrels,non-native,single flower,55.61,empirical,Tew et al. (this study),1 species in genus (Oxalis articulata); 12 flowers measured (1 site on 1 day)
Pachysandra terminalis ,Pachysandra,Buxaceae,"Japanese pachysandra, carpet box",non-native,single flower,0.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Papaver rhoeas,Papaver,Papaveraceae,common poppy,non-native,single flower,3.92,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 20 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Papaver somniferum,Papaver,Papaveraceae,opium poppy,non-native,single flower,3.92,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Papaver rhoes); 20 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Parahebe catarractae,Parahebe,Scrophulariaceae,parahebe,non-native,single flower,21.99,empirical,Tew et al. (this study),1 species in genus (Parahebe hookeriana); 12 flowers measured (1 site on 1 day)
Passiflora caerulea,Passiflora,Passifloraceae,blue passionflower,non-native,single flower,2545.74,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Pastinaca sativa,Pastinaca,Apiaceae,parsnip,native,secondary umbel,0.42,empirical,Baude et al. 2016,same species; 20 flowers measured (1 site on 1 day) and 8 FUs counted
Pelargonium spp,Pelargonium,Geraniaceae,geranium,non-native,single flower,8.49,empirical,Tew et al. (this study),1 species in genus (Pelargonium zonale); 20 flowers measured (2 sites on 2 days)
Penstemon spp,Penstemon,Scrophulariaceae,beardtongue,non-native,single flower,3812.86,empirical,Tew et al. (this study),1 species in genus (Penstemon barbatus); 20 flowers measured (2 sites on 2 days)
Pentaglottis sempervirens,Pentaglottis,Boraginaceae,"green alkanet, evergreen bugloss",non-native,single flower,539.46,empirical,Tew et al. (this study),same species; 45 flowers measured (3 sites on 3 days)
Pericallis hybrida,Pericallis,Asteraceae,cineraria,non-native,single capitulum,1067.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Persicaria affinis,Persicaria,Polygonaceae,Himalayan bistort,non-native,single flower,36.26,empirical,Tew et al. (this study),same species; 30 flowers measured (3 sites on 3 days)
Persicaria amplexicaulis,Persicaria,Polygonaceae,red bistort,non-native,single flower,21.48,empirical,Tew et al. (this study),same species; 10 flowers (1 site on 1 day)
Persicaria bistorta,Persicaria,Polygonaceae,common bistort,native,single raceme,14335.74,empirical,Tew et al. (this study),same species; 24 flowers measured (2 sites on 2 days) and 9 FUs counted
Persicaria maculosa,Persicaria,Polygonaceae,"lady's thumb, redshank",native,single flower,25.19,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 21 flowers (2 sites on 2 days); weighted mean used to combine datasets
Petroselinum crispum,Petroselinum,Apiaceae,garden parsley,non-native,secondary umbel,69.91,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Petunia x hybrida,Petunia,Solanaceae,petunia,non-native,single flower,67.83,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Phacelia tanacetifolia,Phacelia,Boraginaceae,"lacy phacelia, blue tansy",non-native,single flower,469.27,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Phaseolus coccineus,Phaseolus,Fabaceae,runner bean,non-native,single flower,53.44,empirical,Baude et al. 2016,same species (Phaseolus coccineus/vulgaris); 20 flowers measured (2 sites on 2 days)
Phaseolus vulgaris,Phaseolus,Fabaceae,"common bean, French bean",non-native,single flower,53.44,empirical,Baude et al. 2016,same species (Phaseolus coccineus/vulgaris); 20 flowers measured (2 sites on 2 days)
Philadelphus spp,Philadelphus,Hydrangeaceae,mock-orange,non-native,single flower,2379.12,empirical,Tew et al. (this study),1 species in genus (Philadelphus x lemoinei); 10 flowers measured (1 site on 1 day)
Phlox bifida,Phlox,Polemoniaceae,"cleft phlox, sand phlox",non-native,single flower,135.20,empirical,Tew et al. (this study),1 species in genus (Phlox paniculata); 27 flowers measured (2 sites on 2 days)
Phlox paniculata,Phlox,Polemoniaceae,garden phlox,non-native,single flower,135.20,empirical,Tew et al. (this study),same species; 27 flowers measured (2 sites on 2 days)
Phlox subulata,Phlox,Polemoniaceae,"creeping phlox, moss phlox",non-native,single flower,135.20,empirical,Tew et al. (this study),1 species in genus (Phlox paniculata); 27 flowers measured (2 sites on 2 days)
Phygelius aequalis,Phygelius,Scrophulariaceae,"Cape fuchsia, Cape figwort",non-native,single flower,200.79,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Pieris spp,Pieris,Ericaceae,fetterbush,non-native,single flower,1161.19,empirical,Tew et al. (this study),1 species in genus (Pieris formosa); 30 flowers measured (1 site on 2 days)
Pilosella aurantiaca,Pilosella,Asteraceae,"fox-and-cubs, orange hawk bit",non-native,single capitulum,370.99,empirical,Baude et al. 2016,1 species in genus (Pilosella officinarum); 10 flowers measured (1 site on 1 day) and 5 FUs counted
Pilosella officinarum,Pilosella,Asteraceae,mouse-ear hawkweed,native,single capitulum,370.99,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day) and 5 FUs counted
Pisum sativum,Pisum,Fabaceae,garden pea,non-native,single flower,20.20,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Plantago coronopus,Plantago,Plantaginaceae,buck's-horn plantain,native,single flower,0.00,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Plantago lanceolata,Plantago,Plantaginaceae,ribwort plantain,native,single flower,0.00,empirical,Hicks et al. 2016,same species; 3 flowers measured (1 site on 1 day)
Plantago major,Plantago,Plantaginaceae,"broadleaf plantain, greater plantain",native,single flower,0.00,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Plantago media,Plantago,Plantaginaceae,hoary plantain,native,single flower,0.00,empirical,Hicks et al. 2016,1 species in genus (Plantago lanceolata); 3 flowers measured (1 site on 1 day)
Polemonium caeruleum,Polemonium,Polemoniaceae,"Jacob's-ladder, Greek valerian",native,single flower,264.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Polygala serpyllifolia,Polygala,Polygalaceae,heath milkwort,native,single flower,143.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Polygonatum multiflorum/odoratum and hybrids,Polygonatum,Asparagaceae,Solomon's seal,native,single flower,2850.57,empirical,Tew et al. (this study),same species/hybrids; 20 flowers measured (2 sites on 2 days)
Polygonum arenastrum,Polygonum,Polygonaceae,equal-leaved knotgrass,non-native,single flower,3.05,empirical,Baude et al. 2016,1 species in genus (Polygonum aviculare agg.); 20 flowers measured (2 sites on 2 days)
Polygonum aviculare,Polygonum,Polygonaceae,"common knotgrass, prostrate knotweed",native,single flower,3.05,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Potentilla anserina,Potentilla,Rosaceae,"common silverweed, silver cinquefoil",native,single flower,5.62,empirical,Baude et al. 2016,same species; 19 flowers measured (2 sites on 2 days)
Potentilla erecta,Potentilla,Rosaceae,"tormentil, erect cinquefoil",native,single flower,33.28,empirical,Baude et al. 2016,same species; 9 flowers measured (1 site on 1 day)
Potentilla fruticosa,Potentilla,Rosaceae,shrubby cinquefoil,native,single flower,222.46,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Potentilla palustris,Potentilla,Rosaceae,marsh/swamp cinquefoil,native,single flower,30.85,empirical,Baude et al. 2016,1 species in genus (Potentilla reptans); 5 flowers measured (1 site on 1 day)
Potentilla recta,Potentilla,Rosaceae,sulphur cinquefoil,non-native,single flower,30.85,empirical,Baude et al. 2016,1 species in genus (Potentilla reptans); 5 flowers measured (1 site on 1 day)
Potentilla reptans,Potentilla,Rosaceae,creeping cinquefoil,native,single flower,30.85,empirical,Baude et al. 2016,same species; 5 flowers measured (1 site on 1 day)
Potentilla sterilis,Potentilla,Rosaceae,"strawberryleaf cinquefoil, barren strawberry",native,single flower,33.28,empirical,Baude et al. 2016,1 species in genus (Potentilla erecta); 9 flowers measured (1 site on 1 day)
Poterium sanguisorba,Poterium,Rosaceae,salad/garden/small burnet,native,single flower,0.11,empirical,Baude et al. 2016,"same species (Sanguisorba minor, which is synonymous with Poterium sanguisorba); 6 flowers measured (1 site on 1 day)"
Pratia pedunculata,Pratia,Campanulaceae,"matted/trailing pratia, blue star creeper",non-native,single flower,568.70,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Primula auricula,Primula,Primulaceae,"mountain cowslip, bear's ear",non-native,single flower,158.68,empirical,Tew et al. (this study),1 species in genus (Primula bulleyana); 10 flowers measured (1 site on 1 day)
Primula denticulata,Primula,Primulaceae,drumstick primrose,non-native,single flower,158.68,empirical,Tew et al. (this study),1 species in genus (Primula bulleyana); 10 flowers measured (1 site on 1 day)
Primula florindae,Primula,Primulaceae,Tibetan/giant cowslip,non-native,single flower,158.68,empirical,Tew et al. (this study),1 species in genus (Primula bulleyana); 10 flowers measured (1 site on 1 day)
Primula japonica,Primula,Primulaceae,"Japanese primrose, Japanese cowslip",non-native,single flower,158.68,empirical,Tew et al. (this study),1 species in genus (Primula bulleyana); 10 flowers measured (1 site on 1 day)
Primula veris,Primula,Primulaceae,cowslip,native,single flower,158.68,empirical,Tew et al. (this study),1 species in genus (Primula bulleyana); 10 flowers measured (1 site on 1 day)
Primula vulgaris and hybrids,Primula,Primulaceae,primrose,native,single flower,171.91,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Prunella vulgaris,Prunella,Lamiaceae,self-heal,native,single flower,182.75,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 27 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Prunus spp,Prunus,Rosaceae,"cherry, blackthorn, plum",native,single flower,325.36,empirical,Baude et al. 2016,2 species in genus (unweighted mean of Prunus avium and Prunus spinosa); 41 flowers measured (5 sites on 4 days)
Pseudofumaria lutea,Pseudofumaria,Papaveraceae,"yellow corydalis, rock fumewort",non-native,single flower,433.55,empirical,Tew et al. (this study),same species; 22 flowers measured (2 sites on 2 days)
Pulicaria dysenterica,Pulicaria,Asteraceae,common fleabane,native,single capitulum,30.87,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Pulmonaria spp,Pulmonaria,Boraginaceae,lungwort,non-native,single flower,1423.23,empirical,Tew et al. (this study),3 varieties in genus; 30 flowers measured (2 sites on 3 days)
Pyracantha sp,Pyracantha,Rosaceae,firethorn,non-native,single flower,99.43,empirical,Tew et al. (this study),1 species in genus (Pyracantha coccinea); 45 flowers measured (3 sites on 3 days)
Pyrus spp,Pyrus,Rosaceae,pear,non-native,single flower,38.96,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ranunculus acris,Ranunculus,Ranunculaceae,meadow buttercup,native,single flower,102.34,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 39 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Ranunculus bulbosus,Ranunculus,Ranunculaceae,bulbous buttercup,native,single flower,49.33,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Ranunculus flammula,Ranunculus,Ranunculaceae,lesser spearwort,native,single flower,11.84,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 1 days)
Ranunculus repens,Ranunculus,Ranunculaceae,creeping buttercup,native,single flower,145.13,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 19 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Ranunculus sceleratus,Ranunculus,Ranunculaceae,celery-leaved buttercup,native,single flower,11.84,empirical,Baude et al. 2016,1 species in genus (Ranunculus flammula); 20 flowers measured (2 sites on 1 day)
Raphanus sativus,Raphanus,Brassicaceae,radish,non-native,single flower,112.32,empirical,Baude et al. 2016,same species; 10 flowers (1 site on 1 day)
Reseda lutea,Reseda,Resedaceae,yellow/wild mignonette,non-native,single flower,360.57,empirical,Hicks et al. 2016,same species; 8 flowers measured (1 site on 1 day)
Rheum x rhabarbarum,Rheum,Polygonaceae,rhubarb,non-native,single flower,5.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Rhinanthus minor,Rhinanthus,Scrophulariaceae,yellow rattle,native,single flower,108.90,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Rhododendron sp,Rhododendron,Ericaceae,rhododendron,non-native,single flower,1256.86,empirical,Baude et al. 2016,1 species in genus (Rhododendron ponticum); 20 flowers measured (2 sites on 2 days)
Ribes nigrum and hybrids,Ribes,Grossulariaceae,blackcurrant,non-native,single flower,600.26,empirical,Tew et al. (this study),same species; 15 flowers measured (1 site on 1 day)
Ribes rubrum,Ribes,Grossulariaceae,redcurrant,non-native,single flower,600.26,empirical,Tew et al. (this study),1 species in genus (Ribes nigrum); 15 flowers measured (1 site on 1 day)
Ribes sanguineum,Ribes,Grossulariaceae,flowering currant,non-native,single flower,933.81,empirical,Tew et al. (this study),same species; 40 flowers measured (2 sites on 2 days)
Ribes uva-crispa,Ribes,Grossulariaceae,gooseberry,non-native,single flower,600.26,empirical,Tew et al. (this study),1 species in genus (Ribes nigrum); 15 flowers measured (1 site on 1 day)
Romneya coulteri,Romneya,Papaveraceae,California tree poppy,non-native,single flower,30.47,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Rosa spp,Rosa,Rosaceae,rose,non-native,single flower,6.57,empirical,Tew et al. (this study),1 species in genus (Rosa sp. (ornamental); 10 flowers measured (1 site on 1 day)
Rosmarinus officinalis,Rosmarinus,Lamiaceae,rosmary,non-native,single flower,209.77,empirical,Tew et al. (this study),same species; 33 flowers measured (2 sites on 2 days)
Rubus fruticosus agg,Rubus,Rosaceae,"blackberry, bramble",native,single flower,1892.83,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Rubus idaeus and hybrids,Rubus,Rosaceae,raspberry,native,single flower,1892.83,empirical,Baude et al. 2016,1 species in genus (Rubus fruticosus agg); 20 flowers measured (2 sites on 2 days)
Rudbeckia fulgida,Rudbeckia,Asteraceae,"orange coneflower, or perennial coneflower",non-native,single capitulum,451.22,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Rudbeckia hirta,Rudbeckia,Asteraceae,black-eyed Susan,non-native,single capitulum,451.22,empirical,Tew et al. (this study),1 species in genus (Rudbeckia fulgida); 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Sagina spp,Sagina,Caryophyllaceae,pearlwort,native,single flower,0.00,empirical,Baude et al. 2016,1 species in genus (Sagina sp.); 10 flowers measured (1 site on 1 day)
Salix spp,Salix,Salicaceae,willow,native,single catkin,4330.81,empirical,Baude et al. 2016,1 species in genus (Salix cinerea); 9 flowers measured (1 site on 1 day) and 5 FUs counted
Salvia nemorosa,Salvia,Lamiaceae,"woodland sage, Balkan clary",non-native,single flower,65.48,empirical,Tew et al. (this study),same species; 40 flowers measured (2 sites on 2 days)
Salvia officinalis,Salvia,Lamiaceae,sage,non-native,single flower,2133.87,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Sambucus nigra,Sambucus,Caprifoliaceae,elder,native,single corymb,2070.41,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day) and 10 FUs counted
Sanguisorba officinalis,Sanguisorba,Rosaceae,great burnet,native,single flower,0.11,empirical,Baude et al. 2016,1 species in genus (Poterium sanguisorba used as it is synonymous with Sanguisorba minor); 6 flowers measured (1 site on 1 day)
Santolina chamaecyparissus,Santolina,Asteraceae,cotton lavander,non-native,single capitulum,603.29,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Saponaria officinalis,Saponaria,Caryophyllaceae,"common soapwort, wild sweet William",non-native,single flower,445.64,empirical,Baude et al. 2016,same species; 7 flowers measured (1 site on 1 day)
Satureja montana,Satureja,Lamiaceae,winter/mountain savory),non-native,single flower,98.64,empirical,Tew et al. (this study),same species; 15 flowers measured (1 site on 1 day)
Saxifraga spp,Saxifraga,Saxifragaceae,saxifrage,non-native,single flower,115.41,empirical,Tew et al. (this study),1 species in genus (Saxifraga × arendsii); 10 flowers measured (1 site on 1 day)
Scabiosa spp,Scabiosa,Dipsacaceae,"scabious, pincushion flowers",non-native,single capitulum,2253.25,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Scilla siberica,Scilla,Asparagaceae,"Siberian squill, wood squill",non-native,single flower,298.09,empirical,Tew et al. (this study),1 species in genus (Chionodoxa luciliae used given it is synonymous with Scilla luciliae); 25 flowers measured (2 sites on 2 days)
Scorzonera hispanica,Scorzonera,Asteraceae,black/Spanish salsify,non-native,single capitulum,1067.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Scorzoneroides autumnalis,Scorzoneroides,Asteraceae,autumn hawkbit,native,single capitulum,515.76,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 13 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Scutellaria galericulata,Scutellaria,Lamiaceae,common/marsh skullcap,native,single flower,173.48,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Sedum spp,Sedum,Crassulaceae,stonecrop,non-native,single flower,93.22,empirical,Tew et al. (this study),1 species in genus (Sedum telephium); 24 flowers measured (2 sites on 2 days)
Sempervivum sp,Sempervivum,Crassulaceae,"houseleek, liveforever",non-native,single flower,169.74,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Senecio cineraria,Senecio,Asteraceae,silver ragwort,non-native,single capitulum,1527.32,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Senecio jacobaea); 13 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Senecio erucifolius,Senecio,Asteraceae,hoary ragwort,native,single capitulum,923.98,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day) and 5 FUs counted
Senecio jacobaea,Senecio,Asteraceae,common ragwort,native,single capitulum,1527.32,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 13 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Senecio squalidus,Senecio,Asteraceae,Oxford ragwort,non-native,single capitulum,1527.32,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Senecio jacobaea); 13 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Senecio sylvaticus,Senecio,Asteraceae,"woodland ragwort, heath groundsel",native,single capitulum,7.71,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Senecio vulgaris); 10 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Senecio vulgaris,Senecio,Asteraceae,groundsel,native,single capitulum,7.71,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 10 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Sherardia arvensis,Sherardia,Rubiaceae,field madder,native,single flower,0.94,empirical,Baude et al. 2016,1 species in genus (Galium saxatile used as Sherardia arvensis is synonymous with Galium sherardia); 10 flowers measured (1 site on 1 day)
Silene coronaria,Silene,Caryophyllaceae,rose campion,non-native,single flower,97.45,empirical,Tew et al. (this study),same species; 15 flowers measured (1 site on 2 days)
Silene dioica/latifolia and hybrid,Silene,Caryophyllaceae,red/white campion,native,single flower,389.52,empirical,Baude et al. 2016; Hicks et al. 2016,same species (Silene dioica and Silene dioica/latifolia); 25 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Sinapis spp,Sinapis,Brassicaceae,mustard,non-native,single flower,37.89,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Sinapsis arvensis); 31 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Sisymbrium officinale,Sisymbrium,Brassicaceae,hedge mustard,non-native,single flower,2.31,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 22 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Sisyrinchium striatum,Sisyrinchium,Iridaceae,pale yellow-eyed-grass,non-native,single flower,1.64,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Skimmia japonica,Skimmia,Rutaceae,Japanese skimmia,non-native,single flower,336.18,empirical,Tew et al. (this study),same species; 20 flowers measured (1 site on 1 day)
Solanum crispum,Solanum,Solanaceae,Chilean potato tree,non-native,single flower,0.00,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Solanum jasminoides,Solanum,Solanaceae,potato vine,non-native,single flower,0.00,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Solanum lycopersicum,Solanum,Solanaceae,tomato,non-native,single flower,27.29,empirical,Baude et al. 2016,1 species in genus (Solanum tuberosum); 20 flowers measured (2 sites on 1 day)
Solanum nigrum,Solanum,Solanaceae,black nightshade,native,single flower,0.00,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 2 days)
