plant species,plant family,plant genus,additional information,community studied,literature source 1,link 1,literature source 2,link 2,literature source 3,link 3,reference,class,subclass,order,alliance,suballiance,community,continent/region,country,location name,decimal longitude,absolute latitude,decimal latitude,altitude [meters above sea level],year of the  data collection,mean yearly air temperature in degrees Celsius,January - mean monthly temp. [degrees Celsius],February - mean monthly temp. [degrees Celsius],March - mean monthly temp. [degrees Celsius],April - mean monthly temp. [degrees Celsius],May - mean monthly temp. [degrees Celsius],June - mean monthly temp. [degrees Celsius],July - mean monthly temp. [degrees Celsius],August - mean monthly temp. [degrees Celsius],September - mean monthly temp. [degrees Celsius],October - mean monthly temp. [degrees Celsius],November - mean monthly temp. [degrees Celsius],December - mean monthly temp. [degrees Celsius],total yearly  pecipitation in mm,January - total precipitation,February - total precipitation,March - total precipitation,April - total precipitation,May - total precipitation,June - total precipitation,July - total precipitation,August - total precipitation,September - total precipitation,October - total precipitation,November - total precipitation,December - total precipitation,flowering start,flowering end,flowering peak,flowering peak 2 (if occured),flowering lenght,total number of plants per m^2,total number of trees examined,total number of flowers per m^2,total number of inflorescenses per m^2,total number of flowers per m^2 of crown surface,total number of inflorescenses per m^2 of crown surface,total number of flowers per a single tree,total number of flowers per plant,total number of inflorescenses per a single tree,total number of inflorescenses per plant,tree age,mean number of flowering flowers per m^2 per day,peak number of flowering flowers per m^2,flower longevity [days],total nectar in µg per flower,total nectar in µL per flower,nectar in µg/flower/day ,nectar in µL/flower/day ,nectar in µg/inflorescence/day ,sugar concentration % in nectar,total sugar in µg per flower,sugar in µg/flower/day,total sugar in mg per inflorescence,sugar in µg/inflorescence/day,sugar yield in kg/ha per 1 year,sugar yield in g per tree per 1 year,sugar yield in g per 1 m^3 of the tree crown,honey yield in kg/ha per 1 year,honey yield from 1 flower in mg per 1 year,honey yield in g per 1 m^3 of the tree crown,honey yield in kg/tree per 1 year,total pollen yield per 1 year in kg/ha,total pollen yield per 1 year in kg per a single tree,total pollen yield per 1 year in number of grains per a single tree,total pollen in µg/flower,total pollen in µL/flower,total pollen per flower (the number of grains),total pollen in µg/inflorescence,total pollen in µL/inflorescence,total pollen in µg/plant/year,total pollen in number of grains per inflorescence,pollen in µg/flower/day ,pollen in µL/flower/day ,pollen in µL/inflorescence/day ,yearly pollen yield in number of grains per m^2 of the  crown,yearly pollen yield in g per 1 m^3 of the tree crown
Lobelia sessilifolia,Campanulaceae,Lobelia,,natural phytocenosis (various or unknown phytocenoses),Kato & Sakai 2008,https://cdnsciencepub.com/doi/10.1139/B07-131,,,,,"Kato, S, Sakai, s. 2008. Nectar secretion strategy in three Japanese species: Changes in nectar volume and sugar concentration dependent on flower age and flowering order. Botany. 86, pp. 337-345.",,,,,,,Asia,Japan,Mt. Hakkoda,140.85,40.63,40.63,890,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobularia maritima,Brassicaceae,Lobularia,,urban green area,Hicks et al. 2016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158117#sec010,,,,,"Hicks, D. M., Ouvrard, P., Baldock, K. C. R., Baude, M., Goddard, M. A., Kunin, W. E., Mitschunas, N., Memmott, J., Morse, H., Nikolitsi, M., Osgathorpe, L. M., Potts, S. G., Robertson, K. M., Scott, A. V., Sinclair, F., Westbury, D. B., Stone, G. N. 2016. Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows. 11, pp. 1-37.",,,,,,,Europe,United Kingdom,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,,,,,,,,,,,,,,0.02,,,,,,,0.006,,,
Lobularia maritima,Brassicaceae,Lobularia,,urban green area,Hicks et al. 2016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158117#sec010,,,,,"Hicks, D. M., Ouvrard, P., Baldock, K. C. R., Baude, M., Goddard, M. A., Kunin, W. E., Mitschunas, N., Memmott, J., Morse, H., Nikolitsi, M., Osgathorpe, L. M., Potts, S. G., Robertson, K. M., Scott, A. V., Sinclair, F., Westbury, D. B., Stone, G. N. 2016. Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows. 11, pp. 1-37.",,,,,,,Europe,Belgium,Louvain-la-Neuve,4.61,50.67,50.67,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia baetica,Caryophyllaceae,Loeflingia,,natural phytocenosis (Mediterranean),Herrera 1991 b,https://www.tandfonline.com/doi/abs/10.1080/0021213X.1991.10677207?journalCode=tips19,,,,,"Herrera, J. 1991. Reproductive characteristics of a stable-dune therophyte community in Donana (Southern Spain). Israel Journal of Botany. 40, pp. 295-304.",,,,,,,Europe,Spain,Do?ana National Park,-6.44,37.03,37.03,,1989,17,10,12,15,17,20,22,25,22,21,18,12,10,516,83,55,60,45,20,15,0,5,10,38,110,75,130,166,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium rigidum,Poaceae,Lolium,,natural phytocenosis (various or unknown phytocenoses),Prieto-Baena et al. 2003,https://www.tandfonline.com/doi/full/10.1080/00173130310011810,,,,,"Prieto-Baena, J. C., Hidalgo, P. J., Dominguez, E., Galan, C. 2003. Pollen production in the Poaceae family. Grana. 42, pp. 153-159.",,,,,,,Europe,Spain,Cordoba,-4.45,37.83,37.83,123,,18,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31360,,,,,,,,,
Lonicera implexa,Caprifoliaceae,Lonicera,,natural phytocenosis (Mediterranean),Herrera 1985,https://brill.com/view/journals/ijps/34/1/article-p47_6.xml?language=en,,,,,"Herrera, J. 1985. Nectar secretion patterns in southern Spanish Mediterranean scrublands. Israel Journal of Botany. 34, pp. 47-58.",,,,,,,Europe,Spain,Andalucia,-5,37,37,,1982-1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera kamtschatica,Caprifoliaceae,Lonicera,variety 'Duet',field experiment,Bożek & Wieniarska 2006,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2006.018,Bożek 2007,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2007.008/0,,,"Bożek, M., Wieniarska, J. 2006. Biologia kwitnienia i wydajność cukrowa kwiatów dwóch odmian Lonicera kamtschatica (Sevast.) Pojark [Blooming biology and sugar efficiency of two cultivars of Lonicera kamtschatica (Sevast.) Pojark]. Acta Agrobotanica. 59, pp. 177-182. AND Bożek, M. 2007. Pollen productivity and morphology of pollen grains in two cultivars of honeyberry (Lonicera kamtschatica (Sevast.) Pojark). Acta Agrobotanica. 60, pp. 73-77.",,,,,,,Europe,Poland,Lublin area,22.49,51.27,51.27,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,110,135,,,26,,,,,,,2477,,,,,,,4.5,7385,,,,,37.69,2768,,,,56.94,6.86,,,,,,17.36,0.0022,,875,,,,,,,,,,,
Lonicera kamtschatica,Caprifoliaceae,Lonicera,variety 'Atut',field experiment,Bożek & Wieniarska 2006,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2006.018,Bożek 2007,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2007.008/0,,,"Bożek, M., Wieniarska, J. 2006. Biologia kwitnienia i wydajność cukrowa kwiatów dwóch odmian Lonicera kamtschatica (Sevast.) Pojark [Blooming biology and sugar efficiency of two cultivars of Lonicera kamtschatica (Sevast.) Pojark]. Acta Agrobotanica. 59, pp. 177-182. AND Bożek, M. 2007. Pollen productivity and morphology of pollen grains in two cultivars of honeyberry (Lonicera kamtschatica (Sevast.) Pojark). Acta Agrobotanica. 60, pp. 73-77.",,,,,,,Europe,Poland,Lublin area,22.49,51.27,51.27,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,110,135,,,26,,,,,,,3453,,,,,,,4.5,4972,,,,,32.69,1658,,,,47.56,5.73,,,,,,26.56,0.0033,,962,,,,,,,,,,,
Lonicera kamtschatica,Caprifoliaceae,Lonicera,variety 'Atut',field experiment,Bożek & Wieniarska 2006,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2006.018,Bożek 2007,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2007.008/0,,,"Bożek, M., Wieniarska, J. 2006. Biologia kwitnienia i wydajność cukrowa kwiatów dwóch odmian Lonicera kamtschatica (Sevast.) Pojark [Blooming biology and sugar efficiency of two cultivars of Lonicera kamtschatica (Sevast.) Pojark]. Acta Agrobotanica. 59, pp. 177-182. AND Bożek, M. 2007. Pollen productivity and morphology of pollen grains in two cultivars of honeyberry (Lonicera kamtschatica (Sevast.) Pojark). Acta Agrobotanica. 60, pp. 73-77.",,,,,,,Europe,Poland,Lublin area,22.49,51.27,51.27,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,110,135,,,26,,,,,,,2578,,,,,,,4.5,5673,,,,,33.4,1895,,,,40.59,4.89,,,,,,21.44,0.0027,,1038,,,,,,,,,,,
Lonicera kamtschatica,Caprifoliaceae,Lonicera,variety 'Duet',field experiment,Bożek & Wieniarska 2006,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2006.018,Bożek 2007,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2007.008/0,,,"Bożek, M., Wieniarska, J. 2006. Biologia kwitnienia i wydajność cukrowa kwiatów dwóch odmian Lonicera kamtschatica (Sevast.) Pojark [Blooming biology and sugar efficiency of two cultivars of Lonicera kamtschatica (Sevast.) Pojark]. Acta Agrobotanica. 59, pp. 177-182. AND Bożek, M. 2007. Pollen productivity and morphology of pollen grains in two cultivars of honeyberry (Lonicera kamtschatica (Sevast.) Pojark). Acta Agrobotanica. 60, pp. 73-77.",,,,,,,Europe,Poland,Lublin area,22.49,51.27,51.27,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,110,135,,,26,,,,,,,3277,,,,,,,4.5,8550,,,,,34.33,2893,,,,78.68,9.48,,,,,,31.68,0.004,,1207,,,,,,,,,,,
Lonicera kamtschatica,Caprifoliaceae,Lonicera,variety 'Atut',field experiment,Bożek & Wieniarska 2006,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2006.018,Bożek 2007,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2007.008/0,,,"Bożek, M., Wieniarska, J. 2006. Biologia kwitnienia i wydajność cukrowa kwiatów dwóch odmian Lonicera kamtschatica (Sevast.) Pojark [Blooming biology and sugar efficiency of two cultivars of Lonicera kamtschatica (Sevast.) Pojark]. Acta Agrobotanica. 59, pp. 177-182. AND Bożek, M. 2007. Pollen productivity and morphology of pollen grains in two cultivars of honeyberry (Lonicera kamtschatica (Sevast.) Pojark). Acta Agrobotanica. 60, pp. 73-77.",,,,,,,Europe,Poland,Lublin area,22.49,51.27,51.27,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,110,135,,,26,,,,,,,3589,,,,,,,,,,,,,,,,,,,,,,,,,34.8,0.0044,,1215,,,,,,,,,,,
Lonicera kamtschatica,Caprifoliaceae,Lonicera,variety 'Duet',field experiment,Bożek & Wieniarska 2006,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2006.018,Bożek 2007,https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2007.008/0,,,"Bożek, M., Wieniarska, J. 2006. Biologia kwitnienia i wydajność cukrowa kwiatów dwóch odmian Lonicera kamtschatica (Sevast.) Pojark [Blooming biology and sugar efficiency of two cultivars of Lonicera kamtschatica (Sevast.) Pojark]. Acta Agrobotanica. 59, pp. 177-182. AND Bożek, M. 2007. Pollen productivity and morphology of pollen grains in two cultivars of honeyberry (Lonicera kamtschatica (Sevast.) Pojark). Acta Agrobotanica. 60, pp. 73-77.",,,,,,,Europe,Poland,Lublin area,22.49,51.27,51.27,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,110,135,,,26,,,,,,,3893,,,,,,,,,,,,,,,,,,,,,,,,,48.4,0.0061,,1555,,,,,,,,,,,
Lonicera maackii,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,137,151,,,15,0.05,,,,,,97300,,,,,,,,,,,,,61,1263,,,,61.6,122.9,,77,,,,,,,,,,,,,,,,,,
Lonicera maackii,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,148,159,,,12,0.05,,,,,,100400,,,,,,,,,,,,,46.5,1243,,,,62.4,124.8,,78,,,,,,,,,,,,,,,,,,
Lonicera maackii,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,131,142,,,12,0.02,,,,,,144000,,,,,,,,,,,,,58,2388,,,,68.8,343.9,,86,,,,,,,,,,,,,,,,,,
Lonicera maackii,Caprifoliaceae,Lonicera,data collected in the literature search in 2017-2018,unknown,Pamminger et al. 2019,https://peerj.com/articles/6329/,,,,,"Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera periclymenum,Caprifoliaceae,Lonicera,population 1,urban green area,Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,1401.28,,,,,,,,89.64,,,,,,,,,,,,,,,,,,,,,
Lonicera periclymenum,Caprifoliaceae,Lonicera,population 2,urban green area,Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,2377.98,,,,,,,,89.64,,,,,,,,,,,,,,,,,,,,,
Lonicera periclymenum,Caprifoliaceae,Lonicera,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,152,273,212,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera periclymenum,Caprifoliaceae,Lonicera,,natural phytocenosis (Mediterranean),Herrera 1985,https://brill.com/view/journals/ijps/34/1/article-p47_6.xml?language=en,,,,,"Herrera, J. 1985. Nectar secretion patterns in southern Spanish Mediterranean scrublands. Israel Journal of Botany. 34, pp. 47-58.",,,,,,,Europe,Spain,Andalucia,-5,37,37,,1982-1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera periclymenum,Caprifoliaceae,Lonicera,,natural phytocenosis (Mediterranean),Herrera 1986,https://link.springer.com/article/10.1007/BF00045059,,,,,"Herrera, J. 1986. Flowering and fruiting phenology in the coastal shrublands of Donana, south Spain. Vegetatio. 68, pp. 91-98.",,,,,,"Halimio halimifolii-Stauracanthetum genistoidis, Erico scopariae-Ulicetum australis, Erico ciliaris-Ulicetum (minoris) lusitanici",Europe,Spain,Do?ana National Park,-6.44,37.03,37.03,,1982-1984,16,7.5,,,,,,21.6,,,,,,537,,,,,,,,,,,,,154,325,205,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera periclymenum,Caprifoliaceae,Lonicera,,natural phytocenosis (Mediterranean),Herrera 1987,https://www.jstor.org/stable/2399263?seq=1,Herrera 1988,https://www.jstor.org/stable/2260469?seq=1,,,"Herrera, J. 1987. Flower and fruit biology in southern Spanish Mediterranean shrublands. Annals of the Missouri Botanical Garden. 74, pp. 69-78. AND Herrera, J. 1988. Pollination relationships in southern Spanish Mediterranean shrublands. Journal of Ecology. 76, pp. 274-287.",,,,,,,Europe,Spain,Do?ana National Park,-6.44,37.03,37.03,30,1982-1984,16,9.8,,,,,,24.6,,,,,,537,,,,,,,,,,,,,,,207,,,,,48,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,10000,,,,,,,,,
Lonicera tatarica,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,126,148,,,23,0.05,,,,,,82400,,,,,,,,,,,,,61,573,,,,23.6,47.2,,30,,,,,,,,,,,,,,,,,,
Lonicera tatarica,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,130,144,,,15,0.05,,,,,,110000,,,,,,,,,,,,,50,643,,,,35.4,70.7,,44,,,,,,,,,,,,,,,,,,
Lonicera tatarica,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,123,142,,,20,0.05,,,,,,111500,,,,,,,,,,,,,48,746,,,,41.6,83.2,,52,,,,,,,,,,,,,,,,,,
Lonicera tatarica,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,139,150,,,12,0.05,,,,,,160000,,,,,,,,,,,,,44.5,654,,,,52.3,104.6,,65,,,,,,,,,,,,,,,,,,
Lonicera tatarica,Caprifoliaceae,Lonicera,,urban green area,Szklanowska 1978,https://agris.fao.org/agris-search/search.do?recordID=US201302842676,,,,,"Szklanowska, K. 1978. Nektarowanie i wydajność miodowa niektórych drzew i krzewów w warunkach Polski [Nectar secretion and productiveness of honey of some trees and bushes in condition of Poland]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 117-128",,,,,,,Europe,Poland,,18,53,53,,1966-1969,,,,,,,,,,,,,,,,,,,,,,,,,,,121,176,,,56,,,,,2400,600,,,,,,,,,,,600,,,41.4,,195,,,,,,,0.73,,,,,,,,,,,,,,,,,
Lonicera tatarica,Caprifoliaceae,Lonicera,,urban green area,Warakomska 1972,https://agris.fao.org/agris-search/search.do?recordID=US201303269548,,,,,"Warakomska, Z. 1972.  Badania nad wydajnością pyłkową roślin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90",,,,,,,Europe,Poland,Lublin,22.57,51.217,51.22,195,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.7,,,543,,,,,,,,,,,
Lonicera xylosteum,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,125,136,,,12,0.06,,,,,,44700,,,,,,,,,,,,,48.5,1307,,,,35.1,58.4,,44,,,,,,,,,,,,,,,,,,
Lonicera xylosteum,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,119,129,,,11,0.06,,,,,,67000,,,,,,,,,,,,,59.5,2903,,,,116.7,194.5,,146,,,,,,,,,,,,,,,,,,
Lonicera xylosteum,Caprifoliaceae,Lonicera,,field experiment,Jabłoński & Kołtowski 2000,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-bb5574fd-d5d5-45c5-b7b7-5762cbd22c1b?q=bwmeta1.element.agro-number-65f1b857-9481-4897-9be2-a51344ddb9db;15&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B. Kołtowski, Z. 2000. Nektarowanie i wydajność miodowa roślin miododajnych w Polsce. Część XI [The nectar secretion and sugar efficiency of honey plants growing under Poland's conditions]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 44, pp. 205-211.",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,119,137,,,19,0.06,,,,,,98400,,,,,,,,,,,,,59,2451,,,,144.7,241.2,,181,,,,,,,,,,,,,,,,,,
Lonicera xylosteum,Caprifoliaceae,Lonicera,,natural phytocenosis (various or unknown phytocenoses),Szklanowska 1978,https://agris.fao.org/agris-search/search.do?recordID=US201302842676,,,,,"Szklanowska, K. 1978. Nektarowanie i wydajność miodowa niektórych drzew i krzewów w warunkach Polski [Nectar secretion and productiveness of honey of some trees and bushes in condition of Poland]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 117-128",,,,,,,Europe,Poland,,18,53,53,,1966-1970,,,,,,,,,,,,,,,,,,,,,,,,,,,121,176,,,56,,,,,1000,470,,,,,,,,,,,3130,,,29.9,,874,,,,,,,3.28,,,,,,,,,,,,,,,,,
